,molecule_chembl_id,canonical_smiles,standard_value
182,CHEMBL1984244,CCCCNc1c(-c2ccc(SC3CCCCC3)cc2)nc2cnccn12.O=C(O)C(F)(F)F,3709.0
183,CHEMBL1446199,CC(C)CNC(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1cccs1)CC2,3518.0
184,CHEMBL1524932,COCCCn1c(N)c(-c2nc3ccccc3n2C)c2nc3ccccc3nc21,7369.0
185,CHEMBL1570958,CCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],8305.0
186,CHEMBL1492819,CCn1nc(-c2ccccc2)c2nc3ccccc3nc21,5357.0
187,CHEMBL3199893,CNC(=S)N/N=C/c1ccc(OCc2ccccc2)c(Br)c1,7792.0
188,CHEMBL137913,CN(C)c1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1,4770.0
189,CHEMBL1712229,Nc1ccc2nc(-c3ccccc3)cnc2c1,7228.0
190,CHEMBL1453652,O=C(O)c1ccccc1-c1ccc(/C=C/c2cc(C(F)(F)F)nc(O)n2)o1,7005.0
191,CHEMBL1732235,O=c1c(Br)ccc(Br)cc1Br,6137.0
192,CHEMBL1502104,C=CCN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21,49759.0
193,CHEMBL1452132,CN(C)c1ccc(/C=C/C(=O)c2cccc(Br)c2)cc1,5596.0
194,CHEMBL1571123,Cc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,8301.0
195,CHEMBL1362660,COc1cc(OC)nc(-n2ncc(Br)c(Br)c2=O)n1,49746.0
196,CHEMBL1430995,Cc1ccc(N2C(=O)Cc3ccccc3C2=O)cc1,4592.0
197,CHEMBL1370844,O=[N+]([O-])c1ccc(N(c2ccccc2)c2ccccc2)cc1,6941.0
198,CHEMBL1327783,O=C(c1nnsc1[S+]([O-])c1ccc(Cl)cc1)N1CCOCC1,30840.0
199,CHEMBL1564153,O=C1c2cccc3c(N4CCCCC4)ccc(c23)C(=O)N1c1ccccc1O,7631.0
200,CHEMBL1990694,CCCC/N=C1\C(=O)N(C)c2cccc3c(O)c4ccccc4c1c23,9056.0
201,CHEMBL1375338,CS(=O)(=O)c1nc(-c2ccc(F)cc2)cc(C(F)(F)F)n1,27351.0
202,CHEMBL1532571,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(Br)ccc(c23)C1=O,5716.0
203,CHEMBL1713905,CN1C(=O)/C(=N\CCc2ccccc2)c2c3ccccc3c(O)c3cccc1c23,5975.0
204,CHEMBL1413680,O=[N+]([O-])c1cnc(Sc2ccncn2)s1,49691.0
205,CHEMBL1470904,CC(C)OC(=O)c1sc2nc(-c3ccccc3)ccc2c1N,3698.0
206,CHEMBL1541918,CC(=O)c1sc2nc(-c3ccc(C)cc3)c3c(c2c1N)CCCC3,3730.0
207,CHEMBL1688693,Cc1cc2nc(/C=C/c3nc4cc(C)c(C)cc4[nH]3)[nH]c2cc1C,20865.0
208,CHEMBL1345017,O=c1ccc2cc3c4c(c2o1)CCCN4CCC3,7117.0
209,CHEMBL131770,O=C(/C=C(O)/C=C/c1ccc(O)cc1)/C=C/c1ccc(O)cc1,5133.0
210,CHEMBL428064,O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc21,49745.0
211,CHEMBL1734268,O=C1C=CC(=O)N1c1ccc2c(c1)C(NC(=O)C(F)(F)F)c1ccccc1-2,14485.0
212,CHEMBL1510339,COC(=O)c1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,10667.0
213,CHEMBL1352586,CCCC(=O)OCCNc1cc(Sc2nc3ccccc3[nH]2)c2nonc2c1[N+](=O)[O-],10949.0
214,CHEMBL1567159,CN(CCO)c1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-],8893.0
215,CHEMBL1424562,O=C(Nc1ccccc1)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,11892.0
216,CHEMBL1734763,O=C1C=CC(=O)N1c1ccccc1N1C(=O)C=CC1=O,13642.0
217,CHEMBL1532668,Nc1cc(Cl)c2nonc2c1[N+](=O)[O-],49747.0
218,CHEMBL1588411,Cc1nnc(Sc2cc(NCCCO)c([N+](=O)[O-])c3nonc23)s1,10948.0
